,Source Account,Tweet Text,Tweet Date,Compound Score,Positive Score,Neutral Score,Negative Score
89,BBC Breaking News,Philippines tropical storm kills more than 100 with flash floods and mudslides in southern island of Mindanao https://t.co/lI6Al68SHJ,Sat Dec 23 09:28:43 +0000 2017,-0.5423,0.0,0.829,0.171
90,BBC Breaking News,UN Security Council unanimously adopts resolution imposing new sanctions on North Korea over its missile programme https://t.co/LbrwyUhwHS,Fri Dec 22 18:27:16 +0000 2017,0.4019,0.21,0.718,0.072
91,BBC Breaking News,"Catalan leader Carles Puigdemont calls for talks without conditions with Spanish PM, after separatist parties retai… https://t.co/N2rvwjCVDG",Fri Dec 22 11:29:17 +0000 2017,0.4019,0.144,0.856,0.0
92,BBC Breaking News,"Catalan separatists on track to win back most seats in local parliament, drawing new battle lines with Spain's gove… https://t.co/2eKMydQAFm",Thu Dec 21 22:22:42 +0000 2017,0.296,0.156,0.738,0.107
93,BBC Breaking News,"Woman, 30, dies after being stabbed in Aldi supermarket, in Skipton, North Yorkshire, say police https://t.co/cayz57ps8b",Thu Dec 21 20:35:51 +0000 2017,-0.4404,0.0,0.838,0.162
94,BBC Breaking News,Three quarters of UN members call on US to withdraw its recognition of Jerusalem as Israel's capital https://t.co/wnYQbp95h3,Thu Dec 21 17:22:27 +0000 2017,0.0,0.0,1.0,0.0
95,BBC Breaking News,UK MP Mark Garnier cleared of breaking ministerial code after Cabinet Office investigation https://t.co/SdL1VkN6KV,Thu Dec 21 16:48:42 +0000 2017,0.1027,0.097,0.903,0.0
96,BBC Breaking News,General accused of leading ethnic cleansing campaign in Myanmar is among alleged rights abusers hit by US sanctions https://t.co/17yXWT0bH7,Thu Dec 21 15:59:40 +0000 2017,-0.7003,0.0,0.746,0.254
97,BBC Breaking News,"Melbourne police update:

- No evidence yet to suggest terror link
- Driver was Australian citizen of Afghan descen… https://t.co/WnApWGZuaB",Thu Dec 21 10:48:51 +0000 2017,-0.6808,0.0,0.741,0.259
98,BBC Breaking News,"Australian PM says investigation has begun into ""shocking incident"" in Melbourne, as car is driven into pedestrians… https://t.co/5q1W38zpdk",Thu Dec 21 09:37:29 +0000 2017,-0.4019,0.0,0.863,0.137
99,BBC Breaking News,"""It was a deliberate act"" - Police arrest two people after a car injured at least 13 pedestrians on a busy Melbourn… https://t.co/xUgGAv4Jsx",Thu Dec 21 08:11:27 +0000 2017,-0.6249,0.0,0.769,0.231
0,CBS,Cast your vote now and see who will be named the winner of Super Bowl Greatest Commercials 2018! Tune in January 30… https://t.co/zUteavWdKi,Sun Jan 14 22:13:29 +0000 2018,0.9215,0.379,0.621,0.0
1,CBS,"If you continue to experience problems, please visit https://t.co/wvWEgDYfI5 to send our support team an email.",Sun Jan 14 19:12:26 +0000 2018,0.3182,0.242,0.628,0.13
2,CBS,"We apologize for the live streaming issues some users are experiencing on CBS All Access this morning. The issue, a… https://t.co/WNl94H269i",Sun Jan 14 19:12:25 +0000 2018,0.1027,0.065,0.935,0.0
3,CBS,"RT @startrekcbs: There will be lots to discuss after tonight's new #StarTrekDiscovery. Luckily, #AfterTrek has you covered. Join @karterhol…",Sun Jan 14 19:11:33 +0000 2018,0.6705,0.244,0.756,0.0
4,CBS,Don’t miss the AFC Divisional game! Stream the Jacksonville Jaguars at Pittsburgh Steelers LIVE today at 1:05PM ET… https://t.co/uYjgjaa6Oj,Sun Jan 14 14:49:58 +0000 2018,-0.2244,0.0,0.905,0.095
5,CBS,"Today's music stars will be tomorrow's legends. In two weeks, celebrate The 60th Annual #GRAMMYs, Sunday, January 2… https://t.co/feZVWMIKua",Sun Jan 14 12:00:01 +0000 2018,0.5719,0.171,0.829,0.0
6,CBS,Don’t miss the AFC Divisional game! Stream the Tennessee Titans at New England Patriots LIVE tonight at 8:15PM ET w… https://t.co/X34bNfms3j,Sat Jan 13 14:32:07 +0000 2018,-0.2244,0.0,0.914,0.086
7,CBS,Star power makes these commercials instant classics! Vote for your favorite spot now and watch Super Bowl Greatest… https://t.co/DwBhTazToF,Fri Jan 12 21:39:27 +0000 2018,0.8016,0.297,0.703,0.0
8,CBS,Four-time GRAMMY® winner @KeithUrban inspires the next generation of young artists through music education. Because… https://t.co/1a32zReMrn,Fri Jan 12 12:00:05 +0000 2018,0.7717,0.324,0.676,0.0
9,CBS,Here's why @startrekcbs needs to be your next binge: https://t.co/locrpdx0VT #StarTrekDiscovery https://t.co/XOMuprlXzG,Thu Jan 11 20:34:24 +0000 2018,0.0,0.0,1.0,0.0
10,CBS,RT @Elementary_CBS: Your favorite detective duo is back! #Elementary returns April 30 at 10/9c! https://t.co/aG8XiwAd6S,Thu Jan 11 20:31:42 +0000 2018,0.555,0.204,0.796,0.0
